RowKey,title,latin_title,classes,order,description,image_src,image_alt,PartitionKey,spread_note,biotop,biotopes_note,food,food_note,proportions,reproduction,attractions,projects_note,breeding,localities_title,localities_url
244,Pelikán bílý,Pelecanus onocrotalus,Ptáci (Aves),Veslonozí (Pelecaniformes),"
Je celkově bílý, vak je žlutý, nohy růžové a konce letek černé. Má krátké nohy a všechny čtyři prsty spojené plovací blánou.

 
",https://zoopraha.cz/images/lexikon-images/pelikan_bily_-_foto-23869.jpg,Foto: archiv Zoo Praha,Evropa,Hnízdí v Africe a od jihozápadní Evropy po Střední Asii. Část populace zimuje v severozápadní Africe.,sladké vody,sladké nebo brakické vody s pobřežními bažinami,ryby,téměř výhradně ryby,"délka 90–175 cm, rozpětí křídel 226–360 cm, hmotnost 5,4–15 kg","počet vajec 1–4, inkubace 28–36 dní","Statné tělo, krátké nohy a především dlouhý zobák s pružným vakem na dolní čelisti – to jsou typické znaky všech pelikánů. Zmíněný vak je neuvěřitelně roztažitelný, může mít objem až 13 litrů. Je nicméně jemný a neslouží tedy k přenášení ryb, ale jen k jejich chytání. Při lovu využívají různé druhy pelikánů odlišné taktiky. Některé ryby hromadně nadhánějí na mělčinu, jiné loví samotářsky na hladině a další vyhlížejí kořist ze vzduchu a pak se pro ni vrhají střemhlavým letem. Pelikáni žijí a hnízdí v koloniích, mohutné hnízdo budují některé druhy na zemi, jiné v korunách stromů. Rodiče krmí mláďata natrávenými rybami. Polotekutou směs malí pelikáni vybírají rodičům z volete. Všichni pelikáni dovedou výborně létat, a tak je lze zastihnout i dost daleko od vody. Pelikáni bílí často loví společně – v rojnici nahánějí ryby na mělčinu, kde je pak chytají. Hnízdí v koloniích, mohutné hnízdo z klacíků je umístěné na zemi blízko vody. ",,"
V pražské zoo chováme pelikány bílé od roku 1933, ale teprve v roce 1990 se podařil první umělý odchov, k prvnímu přirozenému odchovu došlo v roce 1997. Od té doby se tu vylíhlo více než 120 mláďat. Mohli bychom se s nimi setkat v mnoha evropských zoologických zahradách, kam mladí pelikáni putovali.
 
",Ptačí mokřady,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/expozicni-celky/1685-ptaci-mokrady
245,Pelikán kadeřavý,Pelecanus crispus,Ptáci (Aves),Veslonozí (Pelecaniformes),"Je největším druhem pelikána. Má našedlé peří, typickou chocholku na temeni a šedé nohy. Ve svatebním šatu jsou vak a dolní čelist zobáku oranžové, horní čelist žlutá.
",https://zoopraha.cz/images/lexikon/pelikán_kadeřavý.jpg,"Pelikán kadeřavý, foto: archiv Zoo Praha",Evropa,jihovýchodní Evropa a dál na východ po Indii a Čínu,sladké vody,"sladké vody, delty řek, pobřeží",ryby,ryby až do velikosti 50 cm,"délka 160–180 cm, rozpětí křídel 310–345 cm, hmotnost 10–13 kg, délka zobáku 37–45 cm","počet vajec 1–4, inkubace 28–36 dní","Na rozdíl od pelikána bílého loví většinou sám a ryby chytá rovnou do zobáku. Hnízdní kolonie mohou čítat až 250 párů, hnízdo dosahuje mnohdy značných rozměrů – 1,5 m na výšku a více než 60 cm v průměru.","Tento druh prodělal během 19. a 20. století dramatický pokles početnosti a jeho kdysi souvislý areál je dnes rozdrobený. V Evropě bychom mohli tyto statné ptáky zastihnout jen na několika málo místech Balkánského poloostrova, především na hnízdištích v chráněné oblasti Dunajské delty a u Malého Prespanského jezera v Řecku, kde hnízdí jejich vůbec nejpočetnější kolonie, čítající téměř 1 000 párů.","Prvního pelikána kadeřavého jsme chovali v letech 1950−1952. V 50. letech prošlo zahradou velké množství pelikánů v rámci transportů zvířat, které zprostředkovávala firma Zoocentr Moskva i další přepravci. Až v roce 1960 přišli dva ptáci, kteří v zoo žili 11 a 12 let. Základem úspěšného chovu se stal pár, který k nám přišel v roce 1995. Ještě téhož roku vyvedli úspěšně první mládě, které žije v zoo dosud. Je to samička, která dostala jméno Kelly. Také sameček Ken, který se vylíhl v roce 1996, je dodnes součástí skupiny, jež se úspěšně rozmnožuje.",Dolní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu
246,Daman stromový,Dendrohyrax arboreus,Savci (Mammalia),Damani (Hyracoidea),"Má zavalité tělo s krátkýma nohama a drobnými boltci. Srst je šedohnědá, jemná a hustá. Hřbetní pachová žláza je lemovaná delšímu béžovými chlupy.
",https://zoopraha.cz/images/lexikon/daman_stromový_4.jpg,"Daman stromový, foto: archiv Zoo Praha",Afrika,jihovýchodní Afrika,listnatý a smíšený les,"nejrůznější druhy lesů, od horských do výšky 4 500 m n. m. přes nížinné po lesy kolem řek",části rostlin,převážně listy,"délka těla průměrně 52 cm, ocas nemá, hmotnost 1,5–3,3 kg","březost průměrně 229 dní, počet mláďat 1–2","Ačkoliv se to zdá neuvěřitelné, damani jsou blízce příbuzní slonům. Na rozdíl od nich jsou to však zvířata nesmírně pohyblivá, která dokážou obratně šplhat po skalách i po keřích a stromech. Jak už jeho jméno napovídá, daman stromový patří k těm druhům damanů, které žijí přednostně na stromech, a to často poměrně vysoko v korunách. Nejaktivnější je za svítání a za soumraku; během dne většinou odpočívá na některé větvi a noc tráví ukrytý v dutině stromu. Na rozdíl od damanů skalních, kteří jsou velice družní a vytvářejí početné skupiny, jsou damani stromoví spíše samotáři. Jejich styl života je velmi skrytý a spíše je uslyšíte, než uvidíte – samci se obzvláště v období sucha ozývají brzy nad ránem silným pronikavým křikem. Prozradí je ale také nápadné latríny, které se nacházejí u paty obývaného stromu. Bez zajímavosti není, že zkrystalizovaný trus těchto damanů se místy používá jako vitaminový doplněk a lidová medicína mu přisuzovala léčebné účinky při epilepsii a záchvatech. ",,"Chováme je od roku 2010, naše zvířata pocházejí z přírody.",Afrika zblízka,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1443-afrika-zblizka
247,Pelikán skvrnozobý,Pelecanus philippensis,Ptáci (Aves),Veslonozí (Pelecaniformes),"
Má šedobílé zbarvení a na temeni malou chocholku. Vak je růžový, s šedými skvrnami. Během hnízdního období má také horní čelist zobáku posetou šedými skvrnkami a lysina kolem očí se zbarví růžově.

 
",https://zoopraha.cz/images/lexikon-images/DSC_2218.jpg,Foto: Petr Hamerník,Asie,"Vyskytuje se od Pákistánu přes Indii po Indonésii, hnízdí jen v Indii, na Srí Lance a v Kambodži.",travnaté území,nejrůznější typy mokřadů,ryby,"ryby, příležitostně i jiní menší vodní živočichové","délka těla 125–150 cm, z toho zobák 28–35 cm, hmotnost 5 kg","Samice snáší nejčastěji 3 vejce, na kterých sedí 30 dní.","Hnízdí v koloniích v korunách stromů, přičemž jednotlivé páry budují hnízdo každý rok na stejném místě. Často se přidružuje k jiným ptákům, hlavně k nesytům. ","Je to jeden z nejvzácnějších druhů pelikánů, dnes se vyskytuje jen na zlomku původního areálu. Díky účinné ochraně však už dnes opět na některých místech jejich počty zvolna začínají stoupat.",Chováme je od roku 2011.,Dolní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu
248,Perlička supí,Acryllium vulturinum,Ptáci (Aves),Hrabaví (Galliformes),"Má černomodré zbarvení s bílými tečkami a proužky. Jméno dostala podle lysé hlavy a krku, které jako by vyvažoval bohatý pláštík ze splývavých per.
",https://zoopraha.cz/images/lexikon/perlicka_supi.JPG,"Perlička supí, foto: archiv Zoo Praha",Afrika,"východní Afrika - jižní Etiopie, Somálsko, Keňa, severní Tanzanie",travnaté území,savana,bezobratlí,"semena, pupeny, listy, různí bezobratlí","délka těla 45−58 cm, délka ocasu 15 cm, délka křídla 28−31 cm, hmotnost 1,4−1,8 kg","Samice snáší 8−15 vajec, sedí na nich 23−27 dní.","Obývá savany, kde se vždy několik perliček sdružuje do různě početných skupin. Jeden člen vždy hlídkuje, zatímco ostatní silnými drápy a zobákem vyhrabávají potravu. V době hnízdění vytváří páry, které společně krmí a vodí mláďata, i když na vejcích sedí jen samice. Většinu dne tráví na zemi, kde hledá potravu, a jako všechny perličky dává přednost běhu před letem dokonce i v případě ohrožení. Jen na noc vylétá na stromy nebo velké keře.",,"První dvě perličky přišly do zoo v roce 1955, o jejich osudu ale záznamy nemáme. Novodobě je chováme od roku 2005.",Dolní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu
249,Pes pralesní,Speothos venaticus,Savci (Mammalia),Šelmy (Carnivora),"
Má zavalité tělo, krátké nohy i ocas a zakulacené boltce. Zbarvení je celkově hnědé, jen ocas je tmavý.

 
",https://zoopraha.cz/images/lexikon-images/_TTT2738.jpg,"Foto: Tomáš Adamec, Zoo Praha",Jižní Amerika,"Střední a Jižní Amerika, od Panamy až po Peru, Brazílii a Paraguay",listnatý a smíšený les,"křoviny, bažinaté oblasti",živá kořist,malí obratlovci,"délka těla 57,5–75 cm, délka ocasu 12,5–15 cm, výška v kohoutku 30 cm, hmotnost 5–7 kg","březost 67 dní, počet mláďat 1–6","Přes své jméno neobývá deštné lesy, ale spíše křovinatou savanu. Vyhledává mokřady a dokáže vytrvale plavat. V důsledku přeměny svého původního prostředí v zemědělskou krajinu je však na mnoha místech ohrožen. Pražská zoo se může pochlubit úspěšnými odchovy těchto zvláštních šelem, které mají v zoologických zahradách pověst obtížně chovatelných zvířat. Dospělí jsou totiž citliví na jakékoliv vyrušování a navíc se často stává, že mláďata samec zabije. Psi pralesní jsou společenští, žijí ve skupinách až 10 zvířat. V podrostu se dorozumívají pronikavým štěkáním. Den tráví ve vyhrabané noře nebo jiné dutině a potravu si hledají za šera a v noci.",,"Psy pralesní chováme od roku 1988 a do současnosti se nám podařilo odchovat více než 30 mláďat, z nichž několik putovalo do chovných zařízení v Jižní Americe.",Horní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8661-horni-cast-arealu
250,Pes ušatý,Otocyon megalotis,Savci (Mammalia),Šelmy (Carnivora),"
Malá šelma se zašpičatělým čenichem a nápadnými ušními boltci, které svou délkou přesahují délku hlavy. Má převážně hnědé zbarvení, nohy jsou černé, vnitřek boltců bílý.

 
",https://zoopraha.cz/images/lexikon-images/pes_usaty_-_stene_-_Tomas_Adamec.jpg,"Foto: Tomáš Adamec, Zoo Praha",Afrika,dva oddělené areály v jižní a východní Africe,travnaté území,křovinaté savany,živá kořist,"malí obratlovci, bezobratlí","délka těla 46–66 cm, délka ocasu 23–34 cm, výška v kohoutku 30–40 cm, hmotnost 3–5,5 kg","březost 60–75 dní, počet mláďat 2–6","V horkých afrických savanách slouží velké boltce jako víceúčelové zařízení. Jednak napomáhají odvádět z těla přebytečné teplo, jednak zachytávají i velmi slabé zvuky, které vydává hmyz, jímž se pes ušatý živí. Specializuje se zvláště na všekazy a chrobáky. Aby se s malou kořistí vypořádal, má zuby sice drobné, ale zato jich je více než u jiných savců – celkem až 48. Psi ušatí žijí v rodinných skupinkách. Mláďata se rodí v noře, kterou rodiče sami vyhrabou.",,"Psy ušaté chováme od roku 1980, i když se jeden exemplář zřejmě objevil v zoo již v 50. letech. První úspěšný odchov se podařil v roce 1987.",Afrika zblízka,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1443-afrika-zblizka
251,Pisila čáponohá,Himantopus himantopus,Ptáci (Aves),Dlouhokřídlí (Chardriiformes),"Má tenký rovný zobák a velmi dlouhé červenorůžové nohy, jinak je černobíle zbarvená. Bílá je hlava, krk, spodina, kostřec a ocas, černá jsou křídla, hřbet a proměnlivá kresba na hlavě (obvykle větší u samců). Mladí ptáci mají šupinovitou kresbu tmavých per.
",https://zoopraha.cz/images/lexikon-images/pisila_caponoha_-_John_Harrison_-_CC_BY-SA_3.0_-_Wikimedia_C.jpg,"Foto: John Harrison, CC BY-SA 3.0 Wikimedia Commons",Evropa,"Má rozsáhlý areál – v Severní Americe od jihu USA po Patagonii, dále severní a subsaharská Afrika, ostrůvkovitě v Evropě, jižní a jihovýchodní Asie, Austrálie, Nový Zéland",sladké vody,"mokřady, mělké vody",ryby,"drobní bezobratlí, pulci, rybí plůdek","délka těla 36–40 cm, délka ocasu 7–8 cm, délka křídla 21–25 cm, hmotnost 165–205 g","počet vajec 3–6, inkubace 22–26 dní","Potravu hledá na rozhraní vody a souše. Právě délka nohou jí přitom umožňuje zavítat i do hlubší vody, kam již jiní bahňáci nemohou. V některých oblastech jsou pisily stálé, severnější populace jsou však tažné a migrují na velké vzdálenosti. V té době mohou vytvářet obrovská, až tisícihlavá hejna. V době hnízdění jsou monogamní a oba rodiče se podílejí na stavbě hnízda i péči o mláďata.",,"Pisily bývaly vystavovány v takzvaném Bechyněho pavilonu vodních ptáků (dnešní Sečuán) ještě v 70. letech, ale podrobnější záznamy chybějí. Ptáci, které najdete v evropské voliéře Ptačích mokřadů, jsou zde chováni od roku 2010.",Ptačí mokřady,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/expozicni-celky/1685-ptaci-mokrady
252,Pískomil veverkoocasý,Sekeetamys calurus,Savci (Mammalia),Hlodavci (Rodentia),"
Malý hlodavec, který má žlutavé až rezavé zbarvení s černými chlupy na hřbetě, spodní strana těla je čistě bílá, přechod na bocích je ostrý a kontrastní. Jméno dostal podle neobvykle huňatého ocasu, který je hnědý, s bílou špičkou.

 
",https://zoopraha.cz/images/lexikon-images/Piskomil_veverkoocas_.jpg,Foto: archiv Zoo Praha,Afrika,vyprahlé oblasti severní Afriky a Blízkého východu,poušť a polopoušť,"skalnaté polopouště,",bezobratlí,"hmyz a další bezobratlí, části rostlin - hlavně semena","délka 9,8−12,8 cm, hmotnost 45−90 g","Samice je březí 21−24 dny, rodí 2−3 mláďata (v chovech až 5).","Vyhrabává si soustavu nor pod skalními převisy a velkými balvany. Potravu hledá v noci, je velice čilý a aktivní, dovede výborně šplhat. Žije v rodinných skupinách, jejichž členové spolu často hravě zápasí, vzájemně se čistí a spí namačkáni k sobě. Pár je sezonně monogamní, vlastnímu páření předcházejí námluvy, při kterých samec bubnuje zadníma nohama a zanechává pachové značky (pachové žlázy má na břiše), aby přilákal partnerku. Následují honičky a ritualizované přetlačování. V přírodě se tito pískomilové rozmnožují v únoru a březnu. V chovech je základní podmínkou úspěšného páření správná skladba jídelníčku – dostatek bílkovin a velmi málo tuků.",,Chováme je od roku 2000.,Afrika zblízka,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1443-afrika-zblizka
253,Pižmovka bělokřídlá,Cairina scutulata,Ptáci (Aves),Vrubozobí (Anseriformes),"Ačkoliv na první pohled působí, že je až na bíle skvrnitou hlavu celá tmavá, své jméno nedostala omylem: na křídlech má skutečně bílé pole, to je ovšem dobře vidět pouze v letu.
",https://zoopraha.cz/images/lexikon-images/pizmovka_belokridla_-_cuatrok77_-_CC_BY_2.0_-_Flickr.jpg,"Foto: Cuatrok77, CC BY 2.0 Flickr",Asie,ostrůvkovitě od Indie po jihovýchodní Asii,tropický les,"mokřady, podmáčené lesy, pomalu tekoucí řeky v lesích",bezobratlí,"semena, vodní rostliny, bezobratlí","délka 66–68 cm, rozpětí křídel 116–153 cm, hmotnost 1,9–3,8 kg","počet vajec 6–16, inkubace 32–34 dny","Podobně jako jiné druhy pižmovek hnízdí ve stromových dutinách a na stromech také odpočívá. Žije samotářsky nebo v párech a je velmi plachá. Za potravou, kterou hledá na mělčinách, často vychází až v noci.","Pižmovka bělokřídlá je vázána na vzrostlé stromy. Kdysi obývala rozlehlý areál od severovýchodní Indie po Sumatru a Jávu. V souvislosti s intenzivním kácením lesů, vysušováním mokřadů, stavbou vodních elektráren a dalšími zásahy do prostředí začalo pižmovek ubývat a dnes je celková populace odhadována na pouhých 400–450 ptáků. Navíc je její současný areál rozdrobený do mnoha vzájemně izolovaných dílčích populací, které nemají možnost se navzájem setkat. Proto je v Červeném seznamu IUCN zařazena jako ohrožený druh.","Chováme je od roku 1997, od roku 2007 se také rozmnožují.",Dolní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu
254,Pižmovka hřebenatá,Sarkidiornis melanotos,Ptáci (Aves),Vrubozobí (Anseriformes),"
Je to jedna z největších kachen. Má bílou, tmavě skvrnitou hlavu, bílý krk, hruď a břicho. Svrchu je leskle modročerná. Samec se od samice liší větší velikostí a nápadným kostěným hrbolem na zobáku.

 
",https://zoopraha.cz/images/lexikon-images/pizmovka_hrebenata_.jpg,Foto: archiv Zoo Praha,Jižní Amerika,"pantropické rozšíření – Jižní Amerika (východní Paraguay, jihovýchodní Brazílie, severovýchodní Argentina), subsaharská Afrika, Madagaskar a Asie (od Pákistánu po jižní Čínu)",travnaté území,"otevřená krajina v okolí jezer a řek, mokřady",bezobratlí,"rostliny a jejich semena, vodní rostliny, bezobratlí","délka 56–76 cm, hmotnost 1,2–2,6 kg","Samice snáší 6–15 vajec, na kterých sedí 28–30 dnů.","Hnízdí nejčastěji v dutinách stromů nebo ve vysoké trávě. Do hnízda vystlaného trávou, rákosem a peřím někdy snáší i několik samic najednou, takže v něm může být až 50 vajec. Samec žije během hnízdění s několika samicemi najednou, které si chrání stejně jako vylíhlá mláďata. Mimo dobu hnízdění se pižmovky hřebenaté sdružují do různě početných hejn.
",,Chovali jsme je v letech 1994−2006 a po přestávce jsou v zoo opět od roku 2013.,Dolní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu
255,Plameňák chilský,Phoenicopterus chilensis,Ptáci (Aves),Plameňáci (Phoenicopteriformes),"Typickým znakem jsou šedé nohy se sytě růžovými klouby a černé zbarvení na zobáku, sahající až k ohybu.
",https://zoopraha.cz/images/lexikon/plameňák_chilský_6.jpg,"Plameňák chilský, foto: archiv Zoo Praha",Jižní Amerika,od středního Peru na jih po Ohňovou zemi,sladké vody,"slaná i sladká jezera, laguny a mokřady do výšky 4 500 m n. m.",bezobratlí,drobní vodní bezobratlí a mikroskopické řasy,"výška 110–130 cm, hmotnost 2,3 kg","počet vajec 1, inkubace 27–31 den","Díky vysokým nohám, dlouhému krku a především růžovému zbarvení si plameňáky nelze splést s jinými ptáky. Všechny druhy jsou vázány na stojaté vody, hlavně na velká jezera včetně slaných a vysokohorských. Obývají dokonce i nehostinné, silně alkalické vody, ve kterých většině jiných živočichů hrozí poleptání. Dospělí plameňáci procezují z vody drobné řasy a korýšky, kteří díky obsaženým karotenům dodávají jejich peří růžové zbarvení. Zobák je zahnutý a dolní čelist je větší než horní. Obsahuje jemné lamely, které fungují jako síto. Mláďata se nicméně líhnou s rovným a krátkým zobáčkem, protože je rodiče zpočátku krmí zvláštním vodnatým výměškem z volete. V té době také dospělí „vyblednou“, protože část barviva předávají svým ochmýřeným potomkům a sami ho pak nemají dostatek pro nová pera, která jim rostou během výchovy mláďat. Plameňáci jsou pospolití ptáci, jejichž početné kolonie sestávají z jednotlivých párů i dosud nezadaných jedinců. Působivé je jejich hromadný tok, při kterém mnoho tisíc ptáků jako obří růžový proud prochází mělkou vodou s nohama propnutýma a s hlavou vysoko vztyčenou, přičemž na sebe upozorňují trhavými pohyby hlavou ze strany na stranu. V době hnízdění vybudují rodiče z bláta homolovitou hnízdní kupu s jamkou na vrcholku a oba se pak střídají v zahřívání vajec. Jeho početní stavy sice klesají, ale stále patří k hojným druhům jihoamerických plameňáků. Hnízdí často ve smíšených koloniích s plameňáky andskými a Jamesovými.",,"Plameňáky chilské chováme od 80. let minulého století, ovšem záznamy o pohybu zvířat jsou z této doby velmi neúplné. Doložené je vylíhnutí mláděte v roce 1986.",Vodní svět a opičí ostrovy,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/expozicni-celky/1456-vodni-svet-a-opici-ostrovy
256,Plameňák kubánský,Phoenicopterus ruber ruber,Ptáci (Aves),Plameňáci (Phoenicopteriformes),"
Má sytě růžové peří i horní polovinu zobáku a červené nohy.

 
",https://zoopraha.cz/images/lexikon/plameňák_kubánský_6.jpg,"Plameňák kubánský, foto: archiv Zoo Praha",Jižní Amerika,"Kuba, některé další ostrovy v Karibiku, pobřežní část jihoamerické pevniny",sladké vody,"mělká jezera, laguny, mokřady, mořské pobřeží",bezobratlí,"vodní bezobratlí včetně hmyzu, drobné rybky, mikroskopické řasy","výška 120–140 cm, hmotnost 2,2–2,8 kg",Samice snáší jediné vejce a sedí na něm střídavě se samcem 27–31 den.,"Je blízký příbuzný plameňáka růžového, někdy jsou dokonce považováni za jeden druh. Vytváří čtyři samostatné populace, z nichž galapážská je silně ohrožená. Způsobem života se neliší od plameňáka chilského.",,"První plameňáci kubánští se objevili v zoo v roce 1960 a přišli z Paříže. Ptáci z přírody dorazili v roce 1965. Jeden samec z této skupiny žil v zoo do června 2013, tedy 48 let, jedna ze samic tu žije dosud. První úspěšný odchov se podařil v roce 1996. Mládě s označením Praha 01 je samec a také on je dodnes součástí naší skupiny.",Vodní svět a opičí ostrovy,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/expozicni-celky/1456-vodni-svet-a-opici-ostrovy
257,Dracéna krokodýlovitá,Dracaena guianensis,Plazi (Reptilia),Šupinatí (Squamata),"Je to statný ještěr s velkou hlavou a silným krkem. Tělo je olivově zelené, hlava světle oranžová. Velké oči jsou černé. Na hřbetě se táhnou řady šupin s nizkými hrbolky, kterými trochu připomíná kůži krokodýlů.
",https://zoopraha.cz/images/lexikon-images/dracana_guyansk__-_Tom_A_Adamec.jpg,"Foto: Tomáš Adamec, Zoo Praha",Jižní Amerika,tropická Jižní Amerika,tropický les,řeky protékající tropickými lesy,bezobratlí,takřka výhradně plži s ulitou,"délka 70–120 cm, ocas až 70 cm, hmotnost až 4 kg","počet vajec 1–7, inkubace 185–196 dní","Navzdory svému jménu má s krokodýlem jen pramálo společného, snad jen s výjimkou toho, že má ráda vodu. Zdržuje se v okolí řek a často odpočívá na větvi, přesahující nad hladinou. Ve vodě hledá útočiště i potravu. Dracény patří k nemnohým specialistům na plže s ulitami. Mohutné čelisti vybavené krátkými, dlaždicovitými „stoličkami“ jim slouží jako louskáček. Jazykem pak sousto několikrát obrátí a oddělí ostré úlomky rozdrcené skořápky, které vyplivnou. Po většinu roku žijí dracény samotářsky a vyhledávají se jen v době páření. Samci se často dvoří samici typicky drsným způsobem. Samice však kupodivu přečká námluvy bez úhony. V přírodě kladou dracény vejce do hnízd stromových všekazů. Ti hnízdo porušené samicí velmi rychle opraví, a tím vajíčka vlastně zazdí. ",,"Návštěvníci naší zoo mohou tyto unikátní a zajímavé živočichy obdivovat od roku 1995. První mládě se vylíhlo v roce 1998. Dnes se již rozmnožují jedinci, které jsme v pražské zoo odchovali.",Terárium,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/5814-terarium
258,Plameňák růžový,Phoenicopterus roseus,Ptáci (Aves),Plameňáci (Phoenicopteriformes),"
Je největším druhem plameňáka. Má bílo-růžové peří, křídelní krovky jsou sytěji růžové, ruční a loketní letky černé, což je ale patrné jen za letu. Zobák je světle růžový, s černou špičkou, nohy celé růžové.

 
",https://zoopraha.cz/images/lexikon/plameňák_růžový_6.jpg,"Plameňák růžový, foto: archiv Zoo Praha",Evropa,"jižní Evropa, severní, východní a jižní Afrika, jihozápadní Asie",sladké vody,mělké vody a mokřady včetně vnitrozemských slaných nebo alkalických jezer a ústí řek,rostliny i živočichové,"drobní vodní bezobratlí (korýši, měkkýši, kroužkovci, hmyz), semena mokřadních trav, řasy, tlející listy","výška 110–150 cm, hmotnost 2–4 kg","počet vajec 1, inkubace 27–31 den","Jedná se o jediný druh plameňáka, který se vyskytuje i v Evropě a zcela výjimečně dokonce zalétá na naše území. Způsobem života se neliší od plameňáka chilského.",,"Plameňák růžový patří k tradičně chovaným druhům. Přesná evidence je vedena od roku 1977, kdy přišli ptáci z volné přírody. První doložené mládě se vylíhlo v roce 1986.",Vodní svět a opičí ostrovy,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/expozicni-celky/1456-vodni-svet-a-opici-ostrovy
259,Plch savanový,Graphiurus parvus,Savci (Mammalia),Hlodavci (Rodentia),"
Malý druh s celkově šedým zbarvením a huňatým ocasem.

 
",https://zoopraha.cz/images/lexikon-images/Plch_savanovy.jpg,Foto: Tereza Mrhálková,Afrika,střední a jižní Afrika,listnatý a smíšený les,"křovinatá savana, suché lesy",bezobratlí,"bezobratlí, různé části rostlin - hlavně semena a plody","délka těla 6,5–8,5 cm, délka ocasu 6–8 cm, hmotnost 18–25 g","březost 24 dny, počet mláďat 2–5","Plchové rodu Graphiurus jsou drobní hlodavci ze subsaharské Afriky. Plcha savanového byste zde našli v otevřené krajině s křovinami a skalnatými výchozy, případně v suchých světlých lesích. Kulovité hnízdo, ve kterém tráví den a vychovává mláďata, umísťuje do spleti větví různě vysoko nad zemí. Potravu si hledá za šera a v noci, a to na zemi i v keřích. Velmi obratně šplhá. V pražské zoo chováme tohoto pohledného tvora v pavilonu Afrika zblízka, kde můžete průzorem nahlédnout přímo do jeho pelíšku. ",,Chováme je od roku 2003.,Afrika zblízka,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1443-afrika-zblizka
260,Polák malý,Aythya nyroca,Ptáci (Aves),Vrubozobí (Anseriformes),"
Má kaštaně hnědé peří, bílé břicho a širokou bílou křídelní pásku, viditelnou za letu. Samec má bílou duhovku.

 
",https://zoopraha.cz/images/lexikon-images/polak_maly_1.jpg,"Polák malý, foto: Tereza Mrhálková, Zoo Praha",Evropa,"Hnízdí v jihozápadní Asii, střední a východní Evropě a severní Africe. Zimuje v jižních částech hnízdního areálu a dále na Blízkém východě, v severovýchodní a západní Africe a jihovýchodní Asii. Část jižních populací je stálá.",sladké vody,"řeky, jezera, mořská pobřeží",bezobratlí,vodní organismy,"délka těla 33–36 cm, délka ocasu 5–6,5 cm, délka křídla 17–20 cm, hmotnost 0,5–0,7 kg","počet vajec 6–14, inkubace 25–27 dní","Patří mezi potápivé kachny, což znamená, že se při hledání potravy dokáže potopit celý poměr-ně hluboko. Dává však přednost mělkým pobřežním vodám, na volnou hladinu se prakticky nevydává. Mnohdy sbírá potravu na hladině nebo v mělké vodě. Kromě semen a dalších částí vodních rostlin se živí i vodními bezobratlými, obojživelníky a malými rybkami. Kdysi bylo možné pozorovat hnízdící poláky malé i na našich vodách. Dnes patří k vzácnostem, pokud se ho vůbec podaří zastihnout. Drží se obvykle v párech nebo malých skupinách, stranou společenství ostatních druhů kachen, jen na zimovištích lze někdy zastihnout početnější hejna. Hnízdo z rostlinného materiálu, vystlané prachovým peřím, je umístěné v hustém porostu na zemi nebo v rákosí na vodě. ",,"Poláky malé chováme podle záznamů nejméně od roku 1988, i když je možné, že se v zoo objevili již dříve.",Ptačí mokřady,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/expozicni-celky/1685-ptaci-mokrady
